time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-09-23 10:00:24.667 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,2, , , , , , , , , ,11,11, , , ,6,8,12, ,1, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425241022464,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , ,2,10, , ,1,13,72580072,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , 
2024-09-23 10:01:24.723 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425239269376,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,94600168,3, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:02:24.730 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238679552,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,117668840,3, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:03:24.735 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238671360,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,139688936,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:04:24.742 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238671360,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,1,23,75076696,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:05:24.826 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,2, , , , , , , , , ,11,11, , , ,6,8,12, ,1, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238634496,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,97096792,2, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , 
2024-09-23 10:06:24.831 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238519808,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,119116888,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:07:24.848 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238519808,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,142185560,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:08:24.861 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238454272,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,1,108,69660720,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:09:24.883 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,2, , , , , , , , , ,11,11, , , ,6,8,12, ,1, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238454272,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,91680816,2, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , 
2024-09-23 10:10:24.889 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238454272,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,114749488,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:11:24.896 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238450176,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,137818160,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:12:24.907 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238450176,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , ,2,483, , ,1,2,63223536,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:13:24.919 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,2, , , , , , , , , ,11,11, , , ,6,8,12, ,1, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238446080,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,85243632,2, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , 
2024-09-23 10:14:24.929 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238401024,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,107263728,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:15:24.933 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238405120,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,129283824,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 10:16:24.940 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425238343680,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,1,3,55896328,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
